Product Code,Product Name,Product Price,Product Brand,Product Availability,Product Link
QX5562,1993 Home for Christmas,$5.95,Hallmark,In Stock.,https://www.hallmarkornaments.com/1993-Home-for-Christmas_p_18599.html
QLX7395,"1993 Home on the Range, Magic",$27.95,Hallmark,In Stock.,https://www.hallmarkornaments.com/1993-Home-on-the-Range-Magic_p_13194.html
QLX7395WB,"1993 Home on the Range, Magic WB",$24.95,Hallmark,In Stock.,https://www.hallmarkornaments.com/1993-Home-on-the-Range-Magic-WB_p_27533.html
QX5255,1993 Howling Good Time,$7.95,Hallmark,In Stock.,https://www.hallmarkornaments.com/1993-Howling-Good-Time_p_18600.html
QXM4055,"1993 I Dream of Santa, Miniature",$5.95,Hallmark,In Stock.,https://www.hallmarkornaments.com/1993-I-Dream-of-Santa-Miniature_p_18602.html
QX5835,1993 Icicle Bicycle,$8.95,Hallmark,Out of Stock.,https://www.hallmarkornaments.com/1993-Icicle-Bicycle_p_18603.html
QXM4045,"1993 Into the Woods, Miniature",$9.95,Hallmark,In Stock.,https://www.hallmarkornaments.com/1993-Into-the-Woods-Miniature_p_18608.html
QXC5272,1993 It's In the Mail,$13.95,Hallmark,In Stock.,https://www.hallmarkornaments.com/1993-Its-In-the-Mail_p_18609.html
QXC5272DB,1993 It's In the Mail DB,$11.95,Hallmark,In Stock.,https://www.hallmarkornaments.com/1993-Its-In-the-Mail-DB_p_27712.html
QK1012,1993 Journey to the Forest,$13.95,Hallmark,In Stock.,https://www.hallmarkornaments.com/1993-Journey-to-the-Forest_p_18610.html
QK1142,1993 Joy of Sharing,$9.95,Hallmark,In Stock.,https://www.hallmarkornaments.com/1993-Joy-of-Sharing_p_18611.html
QX4282,"1993 Joy, Marys Angels #6",$27.95,Hallmark,In Stock.,https://www.hallmarkornaments.com/1993-Joy-Marys-Angels-6_p_13645.html
QX4282DB,"1993 Joy, Marys Angels #6 - DB",$24.95,Hallmark,In Stock.,https://www.hallmarkornaments.com/1993-Joy-Marys-Angels-6--DB_p_14489.html
QX5295,1993 Julianne and Teddy,$8.95,Hallmark,In Stock.,https://www.hallmarkornaments.com/1993-Julianne-and-Teddy_p_18612.html
QX5672,"1993 Kanga and Roo, Winnie the Pooh Collection",$8.95,Hallmark,Out of Stock.,https://www.hallmarkornaments.com/1993-Kanga-and-Roo-Winnie-the-Pooh-Collection_p_18614.html
QX5505,"1993 Lady Daphne, Dickens Caroler Bell #4",$9.95,Hallmark,In Stock.,https://www.hallmarkornaments.com/1993-Lady-Daphne-Dickens-Caroler-Bell-4_p_18551.html
QLX7385,"1993 Last-Minute Shopping, Magic",$22.95,Hallmark,Out of Stock.,https://www.hallmarkornaments.com/1993-Last-Minute-Shopping-Magic_p_18617.html
QLX7385WB,"1993 Last-Minute Shopping, Magic WB",$19.95,Hallmark,In Stock.,https://www.hallmarkornaments.com/1993-Last-Minute-Shopping-Magic-WB_p_27532.html
QXM4122,"1993 Learning to Skate, Miniature",$5.95,Hallmark,In Stock.,https://www.hallmarkornaments.com/1993-Learning-to-Skate-Miniature_p_18618.html
QXM4115,"1993 Lighting a Path, Miniature",$5.95,Hallmark,In Stock.,https://www.hallmarkornaments.com/1993-Lighting-a-Path-Miniature_p_18621.html
QEO8312,1993 Li'l Peeper,$8.95,Hallmark,Out of Stock.,https://www.hallmarkornaments.com/1993-Lil-Peeper_p_18619.html
QX5372,1993 Little Drummer Boy,$11.95,Hallmark,In Stock.,https://www.hallmarkornaments.com/1993-Little-Drummer-Boy_p_18622.html
QX5685,1993 Look for the Wonder,$8.95,Hallmark,In Stock.,https://www.hallmarkornaments.com/1993-Look-for-the-Wonder_p_18623.html
QEO8315,"1993 Lop-Eared Bunny, Easter",$11.95,Hallmark,Out of Stock.,https://www.hallmarkornaments.com/1993-Lop-Eared-Bunny-Easter_p_18624.html
QX5745,1993 Lou Rankin Polar Bear,$11.95,Hallmark,In Stock.,https://www.hallmarkornaments.com/1993-Lou-Rankin-Polar-Bear_p_18625.html
QEO8372,"1993 Lovely Lamb, Easter",$11.95,Hallmark,In Stock.,https://www.hallmarkornaments.com/1993-Lovely-Lamb-Easter_p_18626.html
