Product Code,Product Name,Product Price,Product Brand,Product Availability,Product Link
QX6691,"2000 1924 Toledo Fire Engine, Kiddie Car Classic #7",$20.95,Hallmark,In Stock.,https://www.hallmarkornaments.com/2000-1924-Toledo-Fire-Engine-Kiddie-Car-Classic-7_p_13679.html
QEO8401,"2000 1935 Auburn Speedster, Vintage Roadsters #3",$31.95,Hallmark,In Stock.,https://www.hallmarkornaments.com/2000-1935-Auburn-Speedster-Vintage-Roadsters-3_p_20532.html
QXM5951,"2000 1935 Steelcraft by Murray, Miniature Kiddie Car Luxury Edition #3",$8.95,Hallmark,In Stock.,https://www.hallmarkornaments.com/2000-1935-Steelcraft-by-Murray-Miniature-Kiddie-Car-Luxury-Edition-3_p_20447.html
QXM5951DB,"2000 1935 Steelcraft by Murray, Miniature Kiddie Car Luxury Edition #3 DB",$7.95,Hallmark,In Stock.,https://www.hallmarkornaments.com/2000-1935-Steelcraft-by-Murray-Miniature-Kiddie-Car-Luxury-Edition-3-DB_p_26843.html
QXC4501,"2000 1938 Garton Zephyr, Kiddie Car Classics, Club",$34.95,Hallmark,Out of Stock.,https://www.hallmarkornaments.com/2000-1938-Garton-Zephyr-Kiddie-Car-Classics-Club_p_13694.html
QEO8404,"2000 1940 Garton Red Hot Roadster, Winners Circle #2",$14.95,Hallmark,In Stock.,https://www.hallmarkornaments.com/2000-1940-Garton-Red-Hot-Roadster-Winners-Circle-2_p_15663.html
QBG4081,2000 1955 Murray Dump Truck Kiddie Car Classics,$24.95,Hallmark,In Stock.,https://www.hallmarkornaments.com/2000-1955-Murray-Dump-Truck-Kiddie-Car-Classics_p_20328.html
QX6791,2000 1962 Barbie Hatbox,$13.95,Hallmark,In Stock.,https://www.hallmarkornaments.com/2000-1962-Barbie-Hatbox_p_14095.html
QXI6001,"2000 1962 Duo-Glide, Harley-Davidson Miniature",$12.95,Hallmark,In Stock.,https://www.hallmarkornaments.com/2000-1962-Duo-Glide-Harley-Davidson-Miniature_p_13386.html
QXI6891,"2000 1968 DEORA, Hot Wheels - Green",$14.95,Hallmark,In Stock.,https://www.hallmarkornaments.com/2000-1968-DEORA-Hot-Wheels--Green_p_13821.html
QXI6891,"2000 1968 DEORA, Hot Wheels - Red",$14.95,Hallmark,In Stock.,https://www.hallmarkornaments.com/2000-1968-DEORA-Hot-Wheels--Red_p_13502.html
QXM5944,"2000 1968 Murray Jolly Roger, Miniature Kiddie Car Classics #6",$6.95,Hallmark,In Stock.,https://www.hallmarkornaments.com/2000-1968-Murray-Jolly-Roger-Miniature-Kiddie-Car-Classics-6_p_20446.html
QX6584,"2000 1969 Pontiac GTO-The Judge, Classic American Cars #10",$34.95,Hallmark,In Stock.,https://www.hallmarkornaments.com/2000-1969-Pontiac-GTO-The-Judge-Classic-American-Cars-10_p_12766.html
QX6581,"2000 1978 Dodge Lil Red Express, All-American Trucks #6",$36.95,Hallmark,In Stock.,https://www.hallmarkornaments.com/2000-1978-Dodge-Lil-Red-Express-All-American-Trucks-6_p_13279.html
QHM8820,2000 1980 The Empire Strikes Back Lunchbox Replica,$34.95,Hallmark,In Stock.,https://www.hallmarkornaments.com/2000-1980-The-Empire-Strikes-Back-Lunchbox-Replica_p_20337.html
QXI5261,"2000 700J-1E Lionel Hudson Locomotive, LIONEL 100th Anniversary",$44.95,Hallmark,In Stock.,https://www.hallmarkornaments.com/2000-700J-1E-Lionel-Hudson-Locomotive-LIONEL-100th-Anniversary_p_12616.html
QXC4491,"2000 A Friend Chimes In, Miniature, Club",$8.95,Hallmark,In Stock.,https://www.hallmarkornaments.com/2000-A-Friend-Chimes-In-Miniature-Club_p_20339.html
QX6624,2000 A Pony For Christmas #3,$14.95,Hallmark,In Stock.,https://www.hallmarkornaments.com/2000-A-Pony-For-Christmas-3_p_12781.html
QX6624DB,2000 A Pony For Christmas #3 DB,$12.95,Hallmark,In Stock.,https://www.hallmarkornaments.com/2000-A-Pony-For-Christmas-3-DB_p_26902.html
QX6624NT,2000 A Pony For Christmas #3 NT,$12.95,Hallmark,In Stock.,https://www.hallmarkornaments.com/2000-A-Pony-For-Christmas-3-NT_p_27762.html
QX6624C,"2000 A Pony for Christmas, Colorway - RARE",$59.95,Hallmark,In Stock.,https://www.hallmarkornaments.com/2000-A-Pony-for-Christmas-Colorway--RARE_p_13097.html
QLZ4281,2000 A Visit from Santa,$6.95,Hallmark,In Stock.,https://www.hallmarkornaments.com/2000-A-Visit-from-Santa_p_20340.html
QX8344,"2000 A Visit from St. Nicholas, Blue Plate",$8.95,Hallmark,In Stock.,https://www.hallmarkornaments.com/2000-A-Visit-from-St-Nicholas-Blue-Plate_p_20341.html
QLX7334,"2000 Adobe Church, Candlelight Services #3",$19.95,Hallmark,In Stock.,https://www.hallmarkornaments.com/2000-Adobe-Church-Candlelight-Services-3_p_13489.html
